ID,Y
5972,2006
57116,1981
29076,1994
83358,2004
84664,2004
17164,1989
15703,2009
94703,1999
4494,2009
62639,2005
390,2010
62391,1986
18989,2007
49756,2009
49414,2009
59861,1997
55405,1984
33835,2003
45723,1996
53737,2007
72512,1997
55312,2007
58750,2006
34512,1998
12385,2005
47535,2011
1033,2005
4116,2008
19497,1994
50936,1997
44073,1993
13733,2008
60693,2009
86822,2009
59976,2002
67459,2007
72060,2010
15411,2006
2066,1996
53516,2006
20393,2001
32790,2007
42934,2004
79599,2008
24730,1994
61839,2010
33717,1991
62038,2002
86174,2010
57944,1993
3887,2008
2516,2007
76583,2010
25597,2009
15239,1998
90042,2013
95928,1998
54829,1991
21540,1994
4963,1996
34515,2000
13016,2000
17015,1996
41843,1993
492,2009
12603,1994
72096,2009
2658,2006
18011,1999
35857,1993
22843,1997
57530,2000
37765,2006
74770,2006
63032,1993
45407,2007
68861,1991
60427,1999
2248,2001
29125,2008
45382,1993
1691,2011
95158,2007
22949,1997
82480,2009
86867,2007
83924,2011
45665,2004
28281,1993
346,2011
79891,2009
70041,1992
84169,2010
70133,2007
8302,2003
74740,1990
70050,1998
57823,2000
79961,2009
18209,2009
51986,2000
80749,2005
46741,2008
19661,2008
34452,2000
85471,1999
20958,2002
59085,1999
58552,1993
1658,2000
54162,2012
46922,1995
54933,2009
49164,2008
50575,1997
96260,2010
68367,2009
66051,2003
63764,2008
78958,1999
58766,2006
9658,1995
57458,2009
56037,2008
50217,2005
23112,2001
46887,2006
30808,2000
64098,2005
63404,1993
35298,1996
28682,2005
80542,1994
80285,2001
79480,2008
30377,2007
75584,1999
41958,1993
42487,1993
73070,2005
34202,1995
44425,2006
33802,1998
42323,1994
95451,1995
95845,2002
28990,2010
79295,2010
17469,1991
19062,2003
19765,1998
19588,2005
1887,2007
55469,2008
29349,2006
58174,2006
59243,1999
238,1994
21892,1990
49598,1999
72440,2000
76136,1999
74701,2001
67315,2005
63434,1999
11196,1999
63137,2004
22653,1990
1631,2002
14551,2000
90686,2011
25930,2004
7615,2007
86630,2011
78478,1999
75476,2001
40303,2004
93561,1996
94329,2009
45568,2007
87119,2009
26662,1994
48238,2009
13535,1998
42468,2008
22534,2009
69445,1966
39439,2003
6230,2005
51514,1985
23631,2006
48765,2005
8707,1987
66901,2009
82684,1992
14956,2007
40672,1995
87850,2009
45748,2005
75757,2006
66311,2000
89509,2009
34959,2004
25168,1985
49651,1995
24721,1991
43447,2004
79964,2008
30699,1993
10792,1999
4604,1989
23377,2002
80284,1999
23136,1998
45315,2007
41735,2004
46601,1991
62102,2010
83416,2009
2986,2008
46446,1988
5523,2006
16224,2001
57618,2001
87569,2008
17779,2002
66913,2010
33052,1998
54412,1990
5235,2007
56123,2000
42491,2002
50511,1991
79795,2006
63609,2009
73862,2010
41155,1986
89902,2009
67269,1997
55907,2005
38000,2003
57189,2007
61231,2005
29004,2002
55926,2001
8530,1999
80075,2004
79439,1992
61269,2006
30219,1999
39147,2007
8295,2006
70026,1995
44355,1998
69111,2004
22230,1997
7020,1995
11088,1992
80496,2002
10914,1993
13307,2003
73068,2005
47126,2005
90375,1996
5959,2010
50376,1999
74055,2005
19050,1999
72238,1995
64775,1998
40598,1987
56730,2003
54083,2002
86122,2003
46208,2003
13452,2004
86200,2006
26575,2010
91578,1992
26981,1998
72919,2008
28657,2003
87286,1998
89,2004
82144,2002
51875,1998
70100,2010
53065,1996
63099,1994
18005,2000
59839,2005
717,2009
73234,2005
60098,2011
95069,2009
89472,2009
42448,2007
18970,2008
96021,2006
80171,2002
16145,1995
13138,2005
84514,1999
80349,2008
79274,2008
2975,2001
30596,1999
68640,1997
4410,1998
88157,2007
59540,2003
72063,2008
57960,1996
6731,1988
96346,2001
37742,2006
88854,2006
41184,2010
21944,2010
52549,1995
48308,2000
510,2008
11564,2008
1853,1997
91240,1976
35196,2007
23865,2009
2402,1999
44898,1997
69917,2009
67293,2009
54563,2008
54580,2008
21061,1994
28008,1997
20544,2009
96209,2004
35206,2005
85179,2002
23630,2007
45149,1994
79192,2001
23223,2001
72426,2007
58811,2010
18747,2007
85550,2003
46447,2002
18244,2003
24319,1988
27116,1995
5013,2002
83645,2007
25314,2001
51785,1998
32538,2004
4056,2008
42838,1987
83916,2015
15381,2008
1308,1998
93070,1992
93833,2004
61115,2006
78438,1991
4779,1993
74916,2007
40843,1989
49674,1988
5652,2006
82614,2004
35551,2001
64963,2010
26853,2001
5927,2001
496,2001
84582,2009
3072,1996
43844,2009
76882,1994
69754,1996
58952,2007
13744,2005
42080,2004
16778,1993
54231,1997
22014,1998
51190,2004
78104,1987
69186,2000
29021,1998
54343,2003
56693,2009
92585,2008
81710,2006
28665,2009
13716,1994
60008,2007
56,2009
13570,2004
10174,2000
26381,2003
81145,2003
37587,2006
28712,2011
73353,1996
55878,2006
65958,2008
93166,1999
93605,2002
48629,2000
21081,1992
77554,2000
85902,2011
81150,1994
39080,2009
29815,2010
22018,2007
2579,2004
74521,2009
93462,2004
94880,1983
23898,2007
43930,2007
6762,2010
52884,2009
14321,2003
80034,2009
27996,2010
62176,1975
8993,1987
54438,1997
15029,2005
1255,2005
63532,2003
33621,2008
27844,2008
84914,1999
69692,1995
18501,1996
3569,1998
44141,2002
18718,1999
2973,1995
3065,2008
35728,2011
56588,2005
50796,2008
77433,2008
4237,2004
36572,1991
82880,1997
53739,2006
46307,2008
47142,2002
9697,2010
66206,2009
78690,2001
26943,2010
84744,1984
32054,2010
4638,2008
55467,2010
2845,2011
31729,1999
53560,2003
15164,2005
70342,2011
93844,2009
85325,2004
60612,2006
43284,2009
3212,2003
39956,2006
83389,2002
59772,1998
59229,1993
42112,2005
52055,2003
62234,2002
88979,1991
31181,2001
60386,1994
27869,2002
32644,2009
55797,2000
33350,1989
33460,1994
32787,2011
61044,2012
53001,1979
8593,2010
65418,1996
93375,2010
36501,1990
83295,1992
36179,1999
52213,2010
43766,2002
48922,1996
86889,2007
81854,1998
14947,2010
27321,1991
76155,2004
10803,2007
37925,1993
44637,2005
74245,1999
77955,1985
66267,2009
45626,2007
26791,1994
5608,2001
6894,2009
63073,2008
19999,2006
12352,1999
41723,1998
3272,1995
61219,2009
95493,2004
2693,2006
40412,2004
36114,2005
58815,2007
36580,1993
60461,2010
45814,2006
9032,2005
92506,2006
60506,2009
24517,1994
16869,1985
25686,1991
40950,2005
78205,1998
60440,1992
80031,2003
16790,1988
37629,2005
50655,2008
78396,2006
23317,2005
23453,2009
68290,2007
83018,2006
95591,2006
14547,1991
13534,2006
83138,2005
6458,1998
45314,2004
48947,2004
22030,2011
3469,1999
32062,2013
76547,2010
4926,2011
48421,2005
78094,1999
67399,1998
13835,2003
14663,2004
78995,2009
66745,2007
54384,2009
66135,2009
17304,2010
2327,2006
20916,2008
55132,2000
76195,2004
43784,2011
41672,2000
48799,2007
95604,2009
31772,1994
90855,1999
60210,2011
19263,1997
60720,1999
36833,2009
33053,1992
7993,2008
54638,2007
90303,1999
1392,2006
55436,2008
72358,2002
80714,2009
76561,2007
85603,1997
46795,1995
38313,2006
34828,1989
45229,2013
4704,2009
7163,2004
72257,2006
70786,2010
42754,2004
46378,1998
68847,2009
35602,2009
80271,2002
32652,2003
66240,2007
59455,2004
45991,2008
891,1995
42750,2004
28423,2000
11216,2008
36390,1997
1422,2007
60826,2005
59671,1998
48333,2009
5744,1997
198,1999
63950,2009
34556,2011
60313,1990
13543,2004
75896,1999
54992,2010
8789,2008
46548,2010
29442,1994
23635,2006
79438,2001
79259,2004
32188,2005
91241,1999
88312,2004
65070,1994
42386,2000
21497,2005
91096,2006
63843,2010
76194,2005
33000,1995
16223,2006
53170,2006
77627,2006
36659,2004
81594,2011
44198,2007
25800,2006
47897,1990
61737,2000
23921,2002
92595,1996
36912,2001
74590,2001
91913,2007
90329,1985
43517,2005
60109,2003
61011,2008
65676,2006
19639,2007
52916,2004
58296,2005
32630,1999
87164,2001
92699,1994
18102,1999
57544,1994
80207,2011
62309,1992
16115,2007
69067,2004
61547,2006
55233,2001
82781,1999
28693,2010
65064,1998
63274,2002
73483,2003
15114,2003
80215,2009
3926,2000
85681,1996
92147,2009
49300,2007
83251,2007
93663,1998
13654,1990
8946,2001
48276,2007
83200,2003
13581,1999
5895,2000
57996,1997
67509,1998
4862,2003
12167,2011
22100,2001
23721,2008
20476,2008
91919,2005
79087,1992
5717,2003
12149,2010
27521,2001
19108,2001
92053,1994
84990,2002
86500,2008
74318,1994
5484,2003
20878,1998
14033,1988
77994,2000
55775,1996
46008,1991
30202,1997
53939,2008
49458,2009
74464,2009
36680,2008
54951,1991
78150,2000
39787,2005
22461,2001
29348,2005
30019,1989
79156,2001
12466,2011
41888,2000
74754,2003
57242,1994
65990,2006
10238,1989
3909,2005
43732,2007
66718,2010
86842,2005
65510,1998
66849,2007
21369,2008
79890,2010
23210,2004
90571,1994
93458,2008
40070,1992
67815,1995
1222,2009
5282,2004
47664,1994
28918,2008
78221,2006
36607,2008
95892,2005
45152,2008
49772,2010
47905,1994
77431,2006
95015,2003
93975,1989
82070,1996
1151,2006
36498,1987
52326,2013
37469,2001
95024,2002
74310,1999
37494,2001
30925,1988
75493,2008
26562,1998
22394,2003
15516,2002
7027,1991
40999,2009
91967,2008
57197,2008
7580,1992
47272,2000
13146,2006
75151,2006
51247,2005
22695,2004
37387,2001
52408,2000
25422,2007
87179,2008
56301,2007
18712,2005
43797,2008
41520,2009
89069,1994
16562,2010
8527,2008
4029,1997
18333,2006
61938,2008
62203,2001
65077,1993
62047,2006
50863,2003
55218,1999
6815,2009
8802,1995
6410,2009
7805,1980
68180,2000
65885,2008
45549,2007
33824,2002
4148,1998
17778,2004
23934,1996
192,1999
11909,2008
79137,2002
20846,2010
53307,2008
21141,1987
8495,2010
47462,2008
7977,2007
95658,2000
1304,1987
41055,2001
2821,1996
11478,2007
64812,2009
27224,2003
87139,2002
46067,1992
54572,2005
67249,1994
17770,2006
2645,2007
81458,2008
29027,1999
83353,2009
39319,2009
70608,2006
16108,2010
49042,1990
6171,1983
60072,2009
33145,1991
38926,2003
77540,1994
54414,1995
65553,1995
18324,2006
93675,1992
23595,2003
6239,1990
89537,1998
77042,2007
8473,2007
17665,2005
376,2009
93167,2003
31620,2008
66996,2004
92785,2007
64465,1999
620,2003
24748,1992
70578,2009
33652,2005
77184,1996
31506,2008
1019,2008
58826,2006
369,2008
67314,2009
8858,2003
22395,2007
6124,2009
92549,2004
40117,2008
54672,1994
12147,2010
58331,1986
87330,2009
92209,2004
46748,2000
82638,1998
41449,2007
88526,2011
74297,2003
87030,2000
57276,2009
11150,2008
10102,1986
2628,2007
58703,2001
62565,2003
51518,1995
50934,2005
81644,2002
23212,2001
53205,2004
84267,2004
59502,2009
3590,2008
74934,1995
29080,2010
46137,2007
7714,2001
41996,2011
1492,2006
70224,1996
4178,2009
63135,2006
25624,2007
71394,2008
51922,2007
92670,2010
8313,2003
88969,2008
14182,2008
32316,2007
9986,2005
69747,1987
81610,1998
35601,2009
21475,2001
52089,2008
13494,2005
63035,1995
24936,2012
74599,2003
4427,1996
73508,1994
39070,1991
33906,2010
31221,1999
33335,1986
65238,2000
96140,2007
19052,1995
4722,1998
79425,2005
44737,1998
81995,2008
18793,1999
84071,2011
70392,2000
40489,2007
68732,1999
10348,1999
55040,2010
11352,1998
47854,2010
42692,2004
60976,2002
20668,2007
29053,2005
72531,1994
81613,1993
13817,2010
11349,1988
47468,2010
81734,2006
10243,1992
49025,2009
36628,1982
50220,2002
75746,2006
74606,1988
23229,2009
47073,2002
59901,2006
4206,2009
25992,1991
86854,2009
29508,1994
61846,2009
8461,2007
49109,2009
69932,2010
8624,1992
51726,2006
60860,2009
20783,1996
96057,2011
20811,2008
25544,2009
93689,2003
81581,2009
67505,2005
25424,2008
95717,2003
76717,2001
47514,1988
43935,2004
6726,2003
31813,2008
91992,2000
52667,2001
15993,1993
25625,2008
43416,2004
25971,2009
80715,2009
41176,2008
57839,2003
3758,1991
75754,2005
89947,2009
38435,2007
91154,2006
47391,2002
22829,1998
55055,2009
78619,1986
46334,1995
83640,2008
3622,2007
16211,2006
91090,2002
70045,1996
26315,1991
89512,2004
55486,1990
76431,1995
77440,2008
75962,2007
16398,1988
62709,2008
17887,2008
92936,2010
11042,2002
74473,2009
71409,2000
32145,2001
8522,2009
35367,2009
23014,1999
27722,2002
78093,2000
58507,2009
18728,2010
90728,1993
13871,2003
3484,2006
22885,1989
14020,1999
32844,1997
52472,2009
26497,1999
91019,2009
79375,1983
93721,1986
32048,2005
54738,2001
34947,1991
66522,1987
30872,1996
91576,1994
46857,2006
30655,2006
61111,2010
64317,2009
47456,1999
75554,2007
88463,2008
18069,1997
57353,2000
70433,2001
93641,2006
73278,2009
62570,2003
505,2005
62491,1997
41297,1986
17171,2005
4774,1997
83902,2002
83791,2002
22430,2009
70688,2009
57528,1992
12698,1991
49717,2004
51641,2009
18534,2000
80346,2002
64063,2013
78551,2008
33978,2001
86538,1974
67275,1993
14310,2007
62845,1995
21460,2006
26955,2002
10855,2001
15137,2007
6792,2008
29412,2010
46303,2008
11975,2004
468,1998
94265,2011
33013,1999
81435,2009
41202,2010
92379,2007
8616,1999
12297,2007
30137,1987
23682,2000
28027,2001
1134,1999
70481,2009
14609,2001
27350,2006
68435,2004
7958,2005
81302,2001
26283,2001
26727,1994
90163,2002
72089,2006
47015,2011
48851,1989
76673,1997
51668,1993
42284,2004
4837,2007
6406,2010
68106,2002
34322,2006
70846,1997
32716,2006
69516,1991
17610,1999
57952,1992
11938,2008
4060,1998
55144,1994
48257,2001
21747,1995
66646,2005
32156,2006
37147,2009
27362,2008
16299,1998
42199,2004
45354,2007
11809,2010
47648,2004
5778,2000
24645,2006
80419,1993
38118,2007
60392,1996
43235,1988
13933,2001
12217,2007
3299,1993
93839,1986
37219,2002
11372,1999
78949,1996
1662,2008
60556,1997
9988,1996
69835,2009
91555,1990
82143,1996
86613,1997
78254,2008
80433,2001
49897,2011
59748,1996
24221,2006
17013,2008
71625,2008
29890,2008
28283,2000
18303,2001
83334,2003
62449,2005
48460,2005
73826,2007
70697,2007
70311,2009
68746,2009
69298,1986
27943,2009
84937,1990
22412,2001
56410,2006
37686,2000
17122,2009
86328,2000
30323,1997
42356,2000
69993,1999
68273,2001
95026,2003
83849,2007
75060,1997
45293,2009
55523,1994
10124,2006
56616,2006
34704,2004
76568,2009
81428,2001
62500,2006
50546,1997
3738,2002
7643,1998
26683,2002
31568,1991
715,2011
72507,1994
6710,2004
20354,1991
1002,2009
56445,2004
5228,2010
82249,2004
26479,2009
3135,2005
35608,2006
57924,1989
95719,2005
24848,2002
32702,1987
8274,2009
51244,2004
68056,2009
88536,2007
6969,2003
80944,1998
70299,2011
49132,2002
88720,2004
59023,2002
90021,2008
17558,2003
44245,2005
72196,2011
47652,2005
12363,2006
30583,1994
77135,2002
48394,1994
86017,1996
92434,1999
80300,1999
36276,2006
56371,1997
68570,1989
41635,2001
16547,2012
29449,2003
86961,2005
5432,2011
17035,2007
53494,1995
41995,1993
69826,2006
31840,2009
64844,1995
71207,1994
4207,2008
18862,2006
27624,1999
81155,2001
44913,1992
93446,2010
33443,2002
2651,2011
33127,1998
66490,2007
3783,2008
90330,1986
62723,2002
50590,2005
58790,2018
46070,1988
83632,1999
41170,2007
76997,2005
71565,2009
10899,2003
64751,1997
7737,1997
540,2009
8059,2001
52846,2004
55079,2000
28640,2006
82032,2000
42566,2007
43096,2002
87674,2004
70059,1979
75308,1996
90531,2006
37433,1987
52746,1999
66728,2004
69870,2006
41827,1999
8069,1992
48092,1995
73004,2007
52049,2001
68429,2001
7778,1994
10235,1994
15071,1998
68270,2008
62033,2007
71260,2006
85732,2005
49815,2006
4698,2005
5545,2011
17763,2003
80671,2005
37203,1999
37905,2000
40578,2003
86712,2006
58806,2007
3768,2009
15782,2010
87888,2006
58246,2005
36406,1996
81783,2007
65533,1989
4571,1983
5434,2004
2664,2009
38533,2002
53530,2003
93244,2004
86990,1997
74336,1986
34738,1999
13810,2008
56152,1992
51509,1995
72401,2007
73392,2001
9316,1989
20567,2004
40949,2002
45878,2007
40167,2008
32881,1990
25499,1990
68368,2011
10494,1997
28983,2011
87118,2008
24077,2007
25559,2003
41452,2007
67578,2009
18876,2012
34804,2010
59449,1997
92817,2006
76750,2007
9180,2002
59567,2006
66685,1990
21916,2003
11628,2010
13655,2000
28038,1993
38250,2007
21879,1999
90049,2012
12961,2004
20877,2010
64193,2010
56835,2003
66117,2009
35405,2009
15129,2006
46249,2009
94562,1993
86150,2011
70199,1988
51673,1997
13870,2007
95371,2009
27191,2007
68590,1994
88340,2005
92510,2007
91442,2009
52503,2000
73382,2003
23905,2007
32887,1995
59235,1994
2218,2004
21342,2002
83958,2008
36002,2004
88325,2012
73415,2003
91038,2002
67174,2005
76885,2002
87594,2006
84960,2001
70916,2006
65535,1992
45774,1998
33736,2006
24918,2007
28172,2004
